id,listing_url,host_name,neighbourhood,neighbourhood_cleansed,property_type,room_type,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,calculated_host_listings_count
14127811,https://www.airbnb.com/rooms/14127811,Richelle,Scarborough,Morningside,Private room in rental unit,Private room,20.0,179,300,t,0,0,0,0,7,Unlicensed,1
13839654,https://www.airbnb.com/rooms/13839654,Nicole,Toronto,Mount Pleasant West,Entire condo,Entire home/apt,160.0,28,365,t,6,36,66,341,22,Unlicensed,1
13842395,https://www.airbnb.com/rooms/13842395,Lee,Etobicoke,Islington-City Centre West,Entire condo,Entire home/apt,99.0,28,31,t,0,0,0,0,30,Unlicensed,1
13851154,https://www.airbnb.com/rooms/13851154,Ceilagh,Toronto,Little Portugal,Entire condo,Entire home/apt,250.0,28,1125,t,0,0,0,0,2,Unlicensed,1
14137840,https://www.airbnb.com/rooms/14137840,John,Toronto,Dovercourt-Wallace Emerson-Junction,Private room in home,Private room,75.0,28,35,t,0,0,0,0,56,Unlicensed,1
13858309,https://www.airbnb.com/rooms/13858309,Mary,Toronto,Roncesvalles,Private room in home,Private room,63.0,28,1125,t,0,0,0,0,1,Unlicensed,1
14141086,https://www.airbnb.com/rooms/14141086,Tomas,Toronto,High Park North,Entire rental unit,Entire home/apt,70.0,28,1125,f,0,0,0,0,1,Unlicensed,1
13859099,https://www.airbnb.com/rooms/13859099,Christina,Toronto,Kensington-Chinatown,Private room in townhouse,Private room,110.0,28,1125,t,21,51,81,356,44,Unlicensed,2
13863129,https://www.airbnb.com/rooms/13863129,Donnie,Toronto,Trinity-Bellwoods,Private room in home,Private room,160.0,28,1125,t,30,60,90,365,5,Unlicensed,5
13863591,https://www.airbnb.com/rooms/13863591,Nick,North York,Bedford Park-Nortown,Entire home,Entire home/apt,99.0,28,1125,f,0,0,0,0,0,Unlicensed,1
14150082,https://www.airbnb.com/rooms/14150082,Rob,Toronto,Waterfront Communities-The Island,Entire rental unit,Entire home/apt,150.0,90,1125,t,25,55,85,360,64,Unlicensed,2
14152093,https://www.airbnb.com/rooms/14152093,Sophie,Toronto,Kensington-Chinatown,Private room in townhouse,Private room,125.0,28,1125,t,3,10,40,315,27,Unlicensed,6
13864717,https://www.airbnb.com/rooms/13864717,Vince & Anna,Toronto,Niagara,Entire guest suite,Entire home/apt,138.0,28,1125,t,30,60,89,89,100,Unlicensed,1
14152527,https://www.airbnb.com/rooms/14152527,Sophie,Toronto,Trinity-Bellwoods,Private room in townhouse,Private room,136.0,28,1125,t,30,60,90,365,36,Unlicensed,6
13874098,https://www.airbnb.com/rooms/13874098,Jaclyn,Toronto,Palmerston-Little Italy,Private room in home,Private room,60.0,28,45,t,0,0,0,0,13,Unlicensed,1
14152531,https://www.airbnb.com/rooms/14152531,Sophie,Toronto,Trinity-Bellwoods,Private room in guesthouse,Private room,136.0,28,1125,t,30,60,90,365,38,Unlicensed,6
14153652,https://www.airbnb.com/rooms/14153652,Antonio,Toronto,Moss Park,Entire condo,Entire home/apt,510.0,1,1125,t,18,48,78,163,91,Licensed,1
13875449,https://www.airbnb.com/rooms/13875449,Jonathan,East York,Danforth East York,Private room in bungalow,Private room,127.0,4,1125,t,9,28,48,298,58,Licensed,2
14154796,https://www.airbnb.com/rooms/14154796,Holly,North York,Clanton Park,Private room in rental unit,Private room,69.0,180,1125,t,28,58,88,363,0,Unlicensed,3
14162411,https://www.airbnb.com/rooms/14162411,Alyssa,Toronto,University,Private room in rental unit,Private room,40.0,28,1125,t,0,0,0,0,2,Unlicensed,1
13876855,https://www.airbnb.com/rooms/13876855,Anna,Toronto,Waterfront Communities-The Island,Entire condo,Entire home/apt,135.0,28,1125,t,0,0,0,43,106,Unlicensed,1
14162787,https://www.airbnb.com/rooms/14162787,Lily,Toronto,Waterfront Communities-The Island,Entire rental unit,Entire home/apt,150.0,28,1125,t,0,0,0,0,0,Unlicensed,1
14547904,https://www.airbnb.com/rooms/14547904,Anjelika,Toronto,Greenwood-Coxwell,Entire home,Entire home/apt,112.0,3,1124,t,7,11,41,70,158,Licensed,1
14163229,https://www.airbnb.com/rooms/14163229,Jackie,Toronto,East End-Danforth,Private room in townhouse,Private room,72.0,28,1125,t,27,57,87,87,0,Unlicensed,1
14549154,https://www.airbnb.com/rooms/14549154,Alex,Toronto,Kensington-Chinatown,Private room in rental unit,Private room,66.0,28,1125,t,0,0,0,0,2,Unlicensed,1
14177737,https://www.airbnb.com/rooms/14177737,Cameron,Toronto,Kensington-Chinatown,Entire rental unit,Entire home/apt,139.0,28,1125,t,0,0,0,0,8,Unlicensed,1
14549864,https://www.airbnb.com/rooms/14549864,Christopher,Toronto,Dufferin Grove,Entire guest suite,Entire home/apt,159.0,29,1125,t,0,6,35,35,60,Unlicensed,1
14179325,https://www.airbnb.com/rooms/14179325,Mike,Toronto,Niagara,Entire loft,Entire home/apt,229.0,28,1125,t,0,0,0,264,27,Unlicensed,1
